Id,CreatedAt,Line,Type,Text
197830449458982913,"Wed May 02 23:30:29 +0000 2012","District","Suspended","District Line: Suspended between Putney Bridge and Wimbledon due to a signaling problem at East Putney."
197739848445071361,"Wed May 02 17:30:28 +0000 2012","Victoria","Minor delays","Victoria Line: Minor delays are occurring due to an earlier faulty train at King's Cross."
197710860561559553,"Wed May 02 15:35:17 +0000 2012","Victoria","","Victoria Line: Back to good service."
197705859994882048,"Wed May 02 15:15:24 +0000 2012","Victoria","Severe delays","Victoria Line: Severe delays are occurring due to an earlier fire alert at Brixton."
197674375229620225,"Wed May 02 13:10:18 +0000 2012","Victoria","Suspended","Victoria Line: Suspended between Brixton and Victoria due to a fire alert at Brixton. Minor delays on the rest of the line."
197668109514055682,"Wed May 02 12:45:24 +0000 2012","","","Bakerloo Line: Back to good service."
197666827231432706,"Wed May 02 12:40:18 +0000 2012","Victoria","Suspended","Victoria Line: Suspended between Brixton and Victoria due to a fire alert at Brixton."
197617742684225537,"Wed May 02 09:25:16 +0000 2012","","","Hammersmith &amp; City Line: Back to good service."
197615263661834240,"Wed May 02 09:15:25 +0000 2012","","Minor delays","Bakerloo Line: Minor delays are occuring between Queens Park and Harrow &amp;amp; Wealdstone due to a signal failure at Stonebridge Park."
197613977650479104,"Wed May 02 09:10:18 +0000 2012","Metropolitan","","Metropolitan Line: Back to good service."
197607711624531968,"Wed May 02 08:45:24 +0000 2012","","Severe delays","Bakerloo Line: Severe delays are occuring between Queens Park and Harrow &amp;amp; Wealdstone due to a signal failure at Stonebridge Park."
197597610582884352,"Wed May 02 08:05:16 +0000 2012","Circle","Minor delays","Circle Line: Minor delays are occuring, due to an earlier customer incident at Kings Cross."
197596443018674177,"Wed May 02 08:00:37 +0000 2012","","Minor delays","Hammersmith &amp; City Line: Minor delays are occuring, due to an earlier customer incident at Kings Cross."
197547314229944320,"Wed May 02 04:45:24 +0000 2012","","Minor delays","Bakerloo Line: Minor delays are occurring due to late finishing of Network Rail engineeirng work."
197439068840271873,"Tue May 01 21:35:16 +0000 2012","","","Bakerloo Line: Back to good service."
197427750498349056,"Tue May 01 20:50:18 +0000 2012","Victoria","Minor delays","Victoria Line: Minor delays are occurring due to an earlier signal failure at Brixton."
197415240542068737,"Tue May 01 20:00:35 +0000 2012","Jubilee","","Jubilee Line: Back to good service."
197413899375624192,"Tue May 01 19:55:16 +0000 2012","Jubilee","Suspended","Jubilee Line: Suspended between West Ham and Stratford, with minor delays on the rest of the line due to a faulty train at Stratford."
197403871503589376,"Tue May 01 19:15:25 +0000 2012","","Suspended","Bakerloo Line: Suspended between Queens Park and Harrow &amp;amp; Wealdtsone due to a signal failure at Stonebridge Park."
197322055086116865,"Tue May 01 13:50:18 +0000 2012","Victoria","","Victoria Line: Back to good service."
197279349190307840,"Tue May 01 11:00:36 +0000 2012","Victoria","Minor delays","Victoria Line: Minor delays are occuring due to signal failure at Finsbury Park."
197221401961299968,"Tue May 01 07:10:21 +0000 2012","Northern","","Northern Line: Back to good service."
197220128151187457,"Tue May 01 07:05:17 +0000 2012","Northern","Suspended","Northern Line: Part suspended between Edgware and Hampstead, due to a signal failure at Golders Green."
197076677644394497,"Mon Apr 30 21:35:16 +0000 2012","Jubilee","","Jubilee Line: Back to good service."
197067953886347265,"Mon Apr 30 21:00:36 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring between Willesden Green and Stanmore due to an earlier faulty train at Stanmore."
197041480488067072,"Mon Apr 30 19:15:24 +0000 2012","Piccadilly","Severe delays","Piccadilly Line: Severe delays are occurring between Acton Town and Uxbridge due to an an earlier customer incident at Sudbury Hill."
197012515480289280,"Mon Apr 30 17:20:18 +0000 2012","","","Bakerloo Line: Back to good service."
196987347362000897,"Mon Apr 30 15:40:18 +0000 2012","Piccadilly","Minor delays","Piccadilly Line: Minor delays are occurring between Acton Town and Uxbridge due to a signal failure at Acton Town."
196972249138470912,"Mon Apr 30 14:40:18 +0000 2012","Piccadilly","","Piccadilly Line: Back to good service."
196940780923928577,"Mon Apr 30 12:35:15 +0000 2012","","","Hammersmith &amp; City Line: Back to good service."
196759586093547521,"Mon Apr 30 00:35:15 +0000 2012","Jubilee","","Jubilee Line: Back to good service."
196758382395392000,"Mon Apr 30 00:30:28 +0000 2012","","","Bakerloo Line: Back to good service."
196735767807131648,"Sun Apr 29 23:00:36 +0000 2012","","","Waterloo &amp; City Line: Back to good service."
196734421091622913,"Sun Apr 29 22:55:15 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring due to a faulty train earlier at Kingsbury.London Buses are accepting tickets."
196716841316515840,"Sun Apr 29 21:45:24 +0000 2012","Jubilee","Suspended","Jubilee Line: Suspended between Wembley Park and Stanmore due to a faulty train at Kingsbury.London Buses are accepting tickets."
196711774689570816,"Sun Apr 29 21:25:16 +0000 2012","Jubilee","Severe delays","Jubilee Line: Severe delays between Wembley Park and Stanmore due to a faulty train at Kingsbury."
196704221737914369,"Sun Apr 29 20:55:15 +0000 2012","","","Bakerloo Line: No service between Queens Park and Harrow &amp;amp; Wealdstone due to planned engineering works."
196638790150914048,"Sun Apr 29 16:35:15 +0000 2012","","Minor delays","Bakerloo Line: Minor delays are occurring due to an earlier signal failure at Waterloo."
196621175835738112,"Sun Apr 29 15:25:16 +0000 2012","","Severe delays","Bakerloo Line: Severe delays are occurring due to an earlier signal failure at Waterloo."
196573393204678657,"Sun Apr 29 12:15:23 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Baker Street and Wembley Park due to a signal failure at Finchley Road."
196554575963111424,"Sun Apr 29 11:00:37 +0000 2012","","","Bakerloo Line: Back to good service."
196541912746958849,"Sun Apr 29 10:10:18 +0000 2012","Metropolitan","","Metropolitan Line: Back to good service."
196512998796427264,"Sun Apr 29 08:15:24 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring between Wembley Park and Stanmore due to faulty trains."
196511715008061440,"Sun Apr 29 08:10:18 +0000 2012","Jubilee","","Jubilee Line: Back to good service."
196510447648784384,"Sun Apr 29 08:05:16 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring due to faulty trains."
196507933335490561,"Sun Apr 29 07:55:16 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring between Wembley Park and North Greenwich due to faulty trains."
196504172978384896,"Sun Apr 29 07:40:20 +0000 2012","Metropolitan","Suspended","Metropolitan Line: Suspended between Chalfont &amp;amp; Latimer and Chesham due to an obstruction on the track."
196373375520751618,"Sat Apr 28 23:00:35 +0000 2012","","","Bakerloo Line: Back to good service."
196367000736509952,"Sat Apr 28 22:35:15 +0000 2012","","Minor delays","Bakerloo Line: Minor delays are occurring between Queens Park and Harrow &amp;amp; Wealdstone due to a signal failure at Kensal Green."
196285223288320000,"Sat Apr 28 17:10:18 +0000 2012","Metropolitan","","Metropolitan Line: Back to good service."
196281437220118529,"Sat Apr 28 16:55:16 +0000 2012","Northern","","Northern Line: Back to good service."
196273886306906114,"Sat Apr 28 16:25:15 +0000 2012","Northern","Minor delays","Northern Line: Minor delays are occurring between Camden Town and Edgware due to a signal failure earlier at Camden Town."
196268853964185601,"Sat Apr 28 16:05:15 +0000 2012","Northern","Suspended","Northern Line: Suspended northbound between Camden Town and Golders Green due to a signal failure at Camden Town."
